nm,Band5_Blue,Band6_Green,Band7_Red,Band8_NIR
500,1.0,0.0,0.0,0.0
501,1.0,0.0,0.0,0.0
502,1.0,0.0,0.0,0.0
503,1.0,0.0,0.0,0.0
504,1.0,0.0,0.0,0.0
505,1.0,0.0,0.0,0.0
506,1.0,0.0,0.0,0.0
507,1.0,0.0,0.0,0.0
508,1.0,0.0,0.0,0.0
509,1.0,0.0,0.0,0.0
510,1.0,0.0,0.0,0.0
511,1.0,0.0,0.0,0.0
512,1.0,0.0,0.0,0.0
513,1.0,0.125,0.0,0.0
514,1.0,0.25,0.0,0.0
515,1.0,0.375,0.0,0.0
516,1.0,0.5,0.0,0.0
517,1.0,0.625,0.0,0.0
518,1.0,0.75,0.0,0.0
519,1.0,0.875,0.0,0.0
520,1.0,1.0,0.0,0.0
521,0.875,1.0,0.0,0.0
522,0.75,1.0,0.0,0.0
523,0.625,1.0,0.0,0.0
524,0.5,1.0,0.0,0.0
525,0.375,1.0,0.0,0.0
526,0.25,1.0,0.0,0.0
527,0.125,1.0,0.0,0.0
528,0.0,1.0,0.0,0.0
529,0.0,1.0,0.0,0.0
530,0.0,1.0,0.0,0.0
531,0.0,1.0,0.0,0.0
532,0.0,1.0,0.0,0.0
533,0.0,1.0,0.0,0.0
534,0.0,1.0,0.0,0.0
535,0.0,1.0,0.0,0.0
536,0.0,1.0,0.0,0.0
537,0.0,1.0,0.0,0.0
538,0.0,1.0,0.0,0.0
539,0.0,1.0,0.0,0.0
540,0.0,1.0,0.0,0.0
541,0.0,1.0,0.0,0.0
542,0.0,1.0,0.0,0.0
543,0.0,1.0,0.0,0.0
544,0.0,1.0,0.0,0.0
545,0.0,1.0,0.0,0.0
546,0.0,1.0,0.0,0.0
547,0.0,1.0,0.0,0.0
548,0.0,1.0,0.0,0.0
549,0.0,1.0,0.0,0.0
550,0.0,1.0,0.0,0.0
551,0.0,1.0,0.0,0.0
552,0.0,1.0,0.0,0.0
553,0.0,1.0,0.0,0.0
554,0.0,1.0,0.0,0.0
555,0.0,1.0,0.0,0.0
556,0.0,1.0,0.0,0.0
557,0.0,1.0,0.0,0.0
558,0.0,1.0,0.0,0.0
559,0.0,1.0,0.0,0.0
560,0.0,1.0,0.0,0.0
561,0.0,1.0,0.0,0.0
562,0.0,1.0,0.0,0.0
563,0.0,1.0,0.0,0.0
564,0.0,1.0,0.0,0.0
565,0.0,1.0,0.0,0.0
566,0.0,1.0,0.0,0.0
567,0.0,1.0,0.0,0.0
568,0.0,1.0,0.0,0.0
569,0.0,1.0,0.0,0.0
570,0.0,1.0,0.0,0.0
571,0.0,1.0,0.0,0.0
572,0.0,1.0,0.0,0.0
573,0.0,1.0,0.0,0.0
574,0.0,1.0,0.0,0.0
575,0.0,1.0,0.0,0.0
576,0.0,1.0,0.0,0.0
577,0.0,1.0,0.0,0.0
578,0.0,1.0,0.0,0.0
579,0.0,1.0,0.0,0.0
580,0.0,1.0,0.0,0.0
581,0.0,1.0,0.0,0.0
582,0.0,1.0,0.0,0.0
583,0.0,1.0,0.0,0.0
584,0.0,1.0,0.0,0.0
585,0.0,1.0,0.0,0.0
586,0.0,1.0,0.0,0.0
587,0.0,1.0,0.0,0.0
588,0.0,1.0,0.0,0.0
589,0.0,1.0,0.0,0.0
590,0.0,1.0,0.0,0.0
591,0.0,0.875,0.0,0.0
592,0.0,0.75,0.0,0.0
593,0.0,0.625,0.0,0.0
594,0.0,0.5,0.0,0.0
595,0.0,0.375,0.0,0.0
596,0.0,0.25,0.0,0.0
597,0.0,0.125,0.0,0.0
598,0.0,0.0,0.0,0.0
599,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0
601,0.0,0.0,0.0,0.0
602,0.0,0.0,0.0,0.0
603,0.0,0.0,0.0,0.0
617,0.0,0.0,0.0,0.0
618,0.0,0.0,0.0,0.0
619,0.0,0.0,0.0,0.0
620,0.0,0.0,0.0,0.0
621,0.0,0.0,0.0,0.0
622,0.0,0.0,0.0,0.0
623,0.0,0.0,0.125,0.0
624,0.0,0.0,0.25,0.0
625,0.0,0.0,0.375,0.0
626,0.0,0.0,0.5,0.0
627,0.0,0.0,0.625,0.0
628,0.0,0.0,0.75,0.0
629,0.0,0.0,0.875,0.0
630,0.0,0.0,1.0,0.0
631,0.0,0.0,1.0,0.0
632,0.0,0.0,1.0,0.0
633,0.0,0.0,1.0,0.0
634,0.0,0.0,1.0,0.0
635,0.0,0.0,1.0,0.0
636,0.0,0.0,1.0,0.0
637,0.0,0.0,1.0,0.0
638,0.0,0.0,1.0,0.0
639,0.0,0.0,1.0,0.0
640,0.0,0.0,1.0,0.0
641,0.0,0.0,1.0,0.0
642,0.0,0.0,1.0,0.0
643,0.0,0.0,1.0,0.0
644,0.0,0.0,1.0,0.0
645,0.0,0.0,1.0,0.0
646,0.0,0.0,1.0,0.0
647,0.0,0.0,1.0,0.0
648,0.0,0.0,1.0,0.0
649,0.0,0.0,1.0,0.0
650,0.0,0.0,1.0,0.0
651,0.0,0.0,1.0,0.0
652,0.0,0.0,1.0,0.0
653,0.0,0.0,1.0,0.0
654,0.0,0.0,1.0,0.0
655,0.0,0.0,1.0,0.0
656,0.0,0.0,1.0,0.0
657,0.0,0.0,1.0,0.0
658,0.0,0.0,1.0,0.0
659,0.0,0.0,1.0,0.0
660,0.0,0.0,1.0,0.0
661,0.0,0.0,1.0,0.0
662,0.0,0.0,1.0,0.0
663,0.0,0.0,1.0,0.0
664,0.0,0.0,1.0,0.0
665,0.0,0.0,1.0,0.0
666,0.0,0.0,1.0,0.0
667,0.0,0.0,1.0,0.0
668,0.0,0.0,1.0,0.0
669,0.0,0.0,1.0,0.0
670,0.0,0.0,1.0,0.0
671,0.0,0.0,1.0,0.0
672,0.0,0.0,1.0,0.0
673,0.0,0.0,1.0,0.0
674,0.0,0.0,1.0,0.0
675,0.0,0.0,1.0,0.0
676,0.0,0.0,1.0,0.0
677,0.0,0.0,1.0,0.0
678,0.0,0.0,1.0,0.0
679,0.0,0.0,1.0,0.0
680,0.0,0.0,1.0,0.0
681,0.0,0.0,1.0,0.0
682,0.0,0.0,1.0,0.0
683,0.0,0.0,1.0,0.0
684,0.0,0.0,1.0,0.0
685,0.0,0.0,1.0,0.0
686,0.0,0.0,1.0,0.0
687,0.0,0.0,1.0,0.0
688,0.0,0.0,1.0,0.0
689,0.0,0.0,1.0,0.0
690,0.0,0.0,1.0,0.0
691,0.0,0.0,0.875,0.0
692,0.0,0.0,0.75,0.0
693,0.0,0.0,0.625,0.0
694,0.0,0.0,0.5,0.0
695,0.0,0.0,0.375,0.0
696,0.0,0.0,0.25,0.0
697,0.0,0.0,0.125,0.0
698,0.0,0.0,0.0,0.0
699,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0
701,0.0,0.0,0.0,0.0
702,0.0,0.0,0.0,0.0
703,0.0,0.0,0.0,0.0
757,0.0,0.0,0.0,0.0
758,0.0,0.0,0.0,0.0
759,0.0,0.0,0.0,0.0
760,0.0,0.0,0.0,0.0
761,0.0,0.0,0.0,0.0
762,0.0,0.0,0.0,0.0
763,0.0,0.0,0.0,0.125
764,0.0,0.0,0.0,0.25
765,0.0,0.0,0.0,0.375
766,0.0,0.0,0.0,0.5
767,0.0,0.0,0.0,0.625
768,0.0,0.0,0.0,0.75
769,0.0,0.0,0.0,0.875
770,0.0,0.0,0.0,1.0
771,0.0,0.0,0.0,1.0
772,0.0,0.0,0.0,1.0
773,0.0,0.0,0.0,1.0
774,0.0,0.0,0.0,1.0
775,0.0,0.0,0.0,1.0
776,0.0,0.0,0.0,1.0
777,0.0,0.0,0.0,1.0
778,0.0,0.0,0.0,1.0
779,0.0,0.0,0.0,1.0
780,0.0,0.0,0.0,1.0
781,0.0,0.0,0.0,1.0
782,0.0,0.0,0.0,1.0
783,0.0,0.0,0.0,1.0
784,0.0,0.0,0.0,1.0
785,0.0,0.0,0.0,1.0
786,0.0,0.0,0.0,1.0
787,0.0,0.0,0.0,1.0
788,0.0,0.0,0.0,1.0
789,0.0,0.0,0.0,1.0
790,0.0,0.0,0.0,1.0
791,0.0,0.0,0.0,1.0
792,0.0,0.0,0.0,1.0
793,0.0,0.0,0.0,1.0
794,0.0,0.0,0.0,1.0
795,0.0,0.0,0.0,1.0
796,0.0,0.0,0.0,1.0
797,0.0,0.0,0.0,1.0
798,0.0,0.0,0.0,1.0
799,0.0,0.0,0.0,1.0
800,0.0,0.0,0.0,1.0
801,0.0,0.0,0.0,1.0
802,0.0,0.0,0.0,1.0
803,0.0,0.0,0.0,1.0
804,0.0,0.0,0.0,1.0
805,0.0,0.0,0.0,1.0
806,0.0,0.0,0.0,1.0
807,0.0,0.0,0.0,1.0
808,0.0,0.0,0.0,1.0
809,0.0,0.0,0.0,1.0
810,0.0,0.0,0.0,1.0
811,0.0,0.0,0.0,1.0
812,0.0,0.0,0.0,1.0
813,0.0,0.0,0.0,1.0
814,0.0,0.0,0.0,1.0
815,0.0,0.0,0.0,1.0
816,0.0,0.0,0.0,1.0
817,0.0,0.0,0.0,1.0
818,0.0,0.0,0.0,1.0
819,0.0,0.0,0.0,1.0
820,0.0,0.0,0.0,1.0
821,0.0,0.0,0.0,1.0
822,0.0,0.0,0.0,1.0
823,0.0,0.0,0.0,1.0
824,0.0,0.0,0.0,1.0
825,0.0,0.0,0.0,1.0
826,0.0,0.0,0.0,1.0
827,0.0,0.0,0.0,1.0
828,0.0,0.0,0.0,1.0
829,0.0,0.0,0.0,1.0
830,0.0,0.0,0.0,1.0
831,0.0,0.0,0.0,1.0
832,0.0,0.0,0.0,1.0
833,0.0,0.0,0.0,1.0
834,0.0,0.0,0.0,1.0
835,0.0,0.0,0.0,1.0
836,0.0,0.0,0.0,1.0
837,0.0,0.0,0.0,1.0
838,0.0,0.0,0.0,1.0
839,0.0,0.0,0.0,1.0
840,0.0,0.0,0.0,1.0
841,0.0,0.0,0.0,1.0
842,0.0,0.0,0.0,1.0
843,0.0,0.0,0.0,1.0
844,0.0,0.0,0.0,1.0
845,0.0,0.0,0.0,1.0
846,0.0,0.0,0.0,1.0
847,0.0,0.0,0.0,1.0
848,0.0,0.0,0.0,1.0
849,0.0,0.0,0.0,1.0
850,0.0,0.0,0.0,1.0
851,0.0,0.0,0.0,1.0
852,0.0,0.0,0.0,1.0
853,0.0,0.0,0.0,1.0
854,0.0,0.0,0.0,1.0
855,0.0,0.0,0.0,1.0
856,0.0,0.0,0.0,1.0
857,0.0,0.0,0.0,1.0
858,0.0,0.0,0.0,1.0
859,0.0,0.0,0.0,1.0
860,0.0,0.0,0.0,1.0
861,0.0,0.0,0.0,1.0
862,0.0,0.0,0.0,1.0
863,0.0,0.0,0.0,1.0
864,0.0,0.0,0.0,1.0
865,0.0,0.0,0.0,1.0
866,0.0,0.0,0.0,1.0
867,0.0,0.0,0.0,1.0
868,0.0,0.0,0.0,1.0
869,0.0,0.0,0.0,1.0
870,0.0,0.0,0.0,1.0
871,0.0,0.0,0.0,1.0
872,0.0,0.0,0.0,1.0
873,0.0,0.0,0.0,1.0
874,0.0,0.0,0.0,1.0
875,0.0,0.0,0.0,1.0
876,0.0,0.0,0.0,1.0
877,0.0,0.0,0.0,1.0
878,0.0,0.0,0.0,1.0
879,0.0,0.0,0.0,1.0
880,0.0,0.0,0.0,1.0
881,0.0,0.0,0.0,1.0
882,0.0,0.0,0.0,1.0
883,0.0,0.0,0.0,1.0
884,0.0,0.0,0.0,1.0
885,0.0,0.0,0.0,1.0
886,0.0,0.0,0.0,1.0
887,0.0,0.0,0.0,1.0
888,0.0,0.0,0.0,1.0
889,0.0,0.0,0.0,1.0
890,0.0,0.0,0.0,1.0
891,0.0,0.0,0.0,0.875
892,0.0,0.0,0.0,0.75
893,0.0,0.0,0.0,0.625
894,0.0,0.0,0.0,0.5
895,0.0,0.0,0.0,0.375
896,0.0,0.0,0.0,0.25
897,0.0,0.0,0.0,0.125
898,0.0,0.0,0.0,0.0
899,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0
901,0.0,0.0,0.0,0.0
902,0.0,0.0,0.0,0.0
903,0.0,0.0,0.0,0.0
