WL_nm,Panchromatic,Blue,Green,Red,NIR
688,1.0000,0.0000,0.0000,1.0000,0.0000
689,1.0000,0.0000,0.0000,1.0000,0.0000
690,1.0000,0.0000,0.0000,1.0000,0.0000
691,1.0000,0.0000,0.0000,1.0000,0.0000
692,1.0000,0.0000,0.0000,1.0000,0.0000
693,1.0000,0.0000,0.0000,1.0000,0.0000
694,1.0000,0.0000,0.0000,1.0000,0.0000
695,1.0000,0.0000,0.0000,1.0000,0.0000
696,1.0000,0.0000,0.0000,1.0000,0.0000
697,1.0000,0.0000,0.0000,1.0000,0.0000
698,1.0000,0.0000,0.0000,0.9625,0.0000
699,1.0000,0.0000,0.0000,0.8375,0.0000
700,1.0000,0.0000,0.0000,0.7125,0.0000
701,1.0000,0.0000,0.0000,0.5875,0.0000
702,1.0000,0.0000,0.0000,0.4625,0.0000
703,1.0000,0.0000,0.0000,0.3375,0.0000
704,1.0000,0.0000,0.0000,0.2125,0.0000
705,1.0000,0.0000,0.0000,0.0875,0.0000
706,1.0000,0.0000,0.0000,0.0000,0.0000
707,1.0000,0.0000,0.0000,0.0000,0.0000
708,1.0000,0.0000,0.0000,0.0000,0.0000
709,1.0000,0.0000,0.0000,0.0000,0.0000
710,1.0000,0.0000,0.0000,0.0000,0.0000
711,1.0000,0.0000,0.0000,0.0000,0.0000
712,1.0000,0.0000,0.0000,0.0000,0.0000
713,1.0000,0.0000,0.0000,0.0000,0.0000
714,1.0000,0.0000,0.0000,0.0000,0.0000
715,1.0000,0.0000,0.0000,0.0000,0.0000
716,1.0000,0.0000,0.0000,0.0000,0.0000
717,1.0000,0.0000,0.0000,0.0000,0.0000
718,1.0000,0.0000,0.0000,0.0000,0.0000
719,1.0000,0.0000,0.0000,0.0000,0.0000
720,1.0000,0.0000,0.0000,0.0000,0.0000
721,1.0000,0.0000,0.0000,0.0000,0.0000
722,1.0000,0.0000,0.0000,0.0000,0.0000
723,1.0000,0.0000,0.0000,0.0000,0.0000
724,1.0000,0.0000,0.0000,0.0000,0.0000
725,1.0000,0.0000,0.0000,0.0000,0.0000
726,1.0000,0.0000,0.0000,0.0000,0.0000
727,1.0000,0.0000,0.0000,0.0000,0.0000
728,1.0000,0.0000,0.0000,0.0000,0.0000
729,1.0000,0.0000,0.0000,0.0000,0.0000
730,1.0000,0.0000,0.0000,0.0000,0.0000
731,1.0000,0.0000,0.0000,0.0000,0.0000
732,1.0000,0.0000,0.0000,0.0000,0.0000
733,1.0000,0.0000,0.0000,0.0000,0.0000
734,1.0000,0.0000,0.0000,0.0000,0.0000
735,1.0000,0.0000,0.0000,0.0000,0.0000
736,1.0000,0.0000,0.0000,0.0000,0.0000
737,1.0000,0.0000,0.0000,0.0000,0.0000
738,1.0000,0.0000,0.0000,0.0000,0.0000
739,1.0000,0.0000,0.0000,0.0000,0.0000
740,1.0000,0.0000,0.0000,0.0000,0.0000
741,1.0000,0.0000,0.0000,0.0000,0.0000
742,1.0000,0.0000,0.0000,0.0000,0.0000
743,1.0000,0.0000,0.0000,0.0000,0.0000
744,1.0000,0.0000,0.0000,0.0000,0.0000
745,1.0000,0.0000,0.0000,0.0000,0.0000
746,1.0000,0.0000,0.0000,0.0000,0.0000
747,1.0000,0.0000,0.0000,0.0000,0.0000
748,1.0000,0.0000,0.0000,0.0000,0.0000
749,1.0000,0.0000,0.0000,0.0000,0.0000
750,1.0000,0.0000,0.0000,0.0000,0.0875
751,1.0000,0.0000,0.0000,0.0000,0.2125
752,1.0000,0.0000,0.0000,0.0000,0.3375
753,1.0000,0.0000,0.0000,0.0000,0.4625
754,1.0000,0.0000,0.0000,0.0000,0.5875
755,1.0000,0.0000,0.0000,0.0000,0.7125
756,1.0000,0.0000,0.0000,0.0000,0.8375
757,1.0000,0.0000,0.0000,0.0000,0.9625
758,1.0000,0.0000,0.0000,0.0000,1.0000
759,1.0000,0.0000,0.0000,0.0000,1.0000
760,1.0000,0.0000,0.0000,0.0000,1.0000
761,1.0000,0.0000,0.0000,0.0000,1.0000
762,1.0000,0.0000,0.0000,0.0000,1.0000
763,1.0000,0.0000,0.0000,0.0000,1.0000
764,1.0000,0.0000,0.0000,0.0000,1.0000
765,1.0000,0.0000,0.0000,0.0000,1.0000
766,1.0000,0.0000,0.0000,0.0000,1.0000
767,1.0000,0.0000,0.0000,0.0000,1.0000
768,1.0000,0.0000,0.0000,0.0000,1.0000
769,1.0000,0.0000,0.0000,0.0000,1.0000
770,1.0000,0.0000,0.0000,0.0000,1.0000
771,1.0000,0.0000,0.0000,0.0000,1.0000
772,1.0000,0.0000,0.0000,0.0000,1.0000
773,1.0000,0.0000,0.0000,0.0000,1.0000
774,1.0000,0.0000,0.0000,0.0000,1.0000
775,1.0000,0.0000,0.0000,0.0000,1.0000
776,1.0000,0.0000,0.0000,0.0000,1.0000
777,1.0000,0.0000,0.0000,0.0000,1.0000
778,1.0000,0.0000,0.0000,0.0000,1.0000
779,1.0000,0.0000,0.0000,0.0000,1.0000
780,1.0000,0.0000,0.0000,0.0000,1.0000
781,1.0000,0.0000,0.0000,0.0000,1.0000
782,1.0000,0.0000,0.0000,0.0000,1.0000
783,1.0000,0.0000,0.0000,0.0000,1.0000
784,1.0000,0.0000,0.0000,0.0000,1.0000
785,1.0000,0.0000,0.0000,0.0000,1.0000
786,1.0000,0.0000,0.0000,0.0000,1.0000
787,1.0000,0.0000,0.0000,0.0000,1.0000
788,1.0000,0.0000,0.0000,0.0000,1.0000
789,1.0000,0.0000,0.0000,0.0000,1.0000
790,1.0000,0.0000,0.0000,0.0000,1.0000
791,1.0000,0.0000,0.0000,0.0000,1.0000
792,1.0000,0.0000,0.0000,0.0000,1.0000
793,1.0000,0.0000,0.0000,0.0000,1.0000
794,1.0000,0.0000,0.0000,0.0000,1.0000
795,1.0000,0.0000,0.0000,0.0000,1.0000
796,1.0000,0.0000,0.0000,0.0000,1.0000
797,1.0000,0.0000,0.0000,0.0000,1.0000
798,1.0000,0.0000,0.0000,0.0000,1.0000
799,1.0000,0.0000,0.0000,0.0000,1.0000
800,1.0000,0.0000,0.0000,0.0000,1.0000
801,1.0000,0.0000,0.0000,0.0000,1.0000
802,1.0000,0.0000,0.0000,0.0000,1.0000
803,1.0000,0.0000,0.0000,0.0000,1.0000
804,1.0000,0.0000,0.0000,0.0000,1.0000
805,1.0000,0.0000,0.0000,0.0000,1.0000
806,1.0000,0.0000,0.0000,0.0000,1.0000
807,1.0000,0.0000,0.0000,0.0000,1.0000
808,1.0000,0.0000,0.0000,0.0000,1.0000
809,1.0000,0.0000,0.0000,0.0000,1.0000
810,1.0000,0.0000,0.0000,0.0000,1.0000
811,1.0000,0.0000,0.0000,0.0000,1.0000
812,1.0000,0.0000,0.0000,0.0000,1.0000
813,1.0000,0.0000,0.0000,0.0000,1.0000
814,1.0000,0.0000,0.0000,0.0000,1.0000
815,1.0000,0.0000,0.0000,0.0000,1.0000
816,1.0000,0.0000,0.0000,0.0000,1.0000
817,1.0000,0.0000,0.0000,0.0000,1.0000
818,1.0000,0.0000,0.0000,0.0000,1.0000
819,1.0000,0.0000,0.0000,0.0000,1.0000
820,1.0000,0.0000,0.0000,0.0000,1.0000
821,1.0000,0.0000,0.0000,0.0000,1.0000
822,1.0000,0.0000,0.0000,0.0000,1.0000
823,1.0000,0.0000,0.0000,0.0000,1.0000
824,1.0000,0.0000,0.0000,0.0000,1.0000
825,1.0000,0.0000,0.0000,0.0000,1.0000
826,1.0000,0.0000,0.0000,0.0000,1.0000
827,1.0000,0.0000,0.0000,0.0000,1.0000
828,1.0000,0.0000,0.0000,0.0000,1.0000
829,1.0000,0.0000,0.0000,0.0000,1.0000
830,1.0000,0.0000,0.0000,0.0000,1.0000
831,1.0000,0.0000,0.0000,0.0000,1.0000
832,1.0000,0.0000,0.0000,0.0000,1.0000
833,1.0000,0.0000,0.0000,0.0000,1.0000
834,1.0000,0.0000,0.0000,0.0000,1.0000
835,1.0000,0.0000,0.0000,0.0000,1.0000
836,1.0000,0.0000,0.0000,0.0000,1.0000
837,1.0000,0.0000,0.0000,0.0000,1.0000
838,1.0000,0.0000,0.0000,0.0000,1.0000
839,1.0000,0.0000,0.0000,0.0000,1.0000
840,1.0000,0.0000,0.0000,0.0000,1.0000
841,1.0000,0.0000,0.0000,0.0000,1.0000
842,1.0000,0.0000,0.0000,0.0000,1.0000
843,1.0000,0.0000,0.0000,0.0000,1.0000
844,1.0000,0.0000,0.0000,0.0000,1.0000
845,1.0000,0.0000,0.0000,0.0000,1.0000
846,1.0000,0.0000,0.0000,0.0000,1.0000
847,1.0000,0.0000,0.0000,0.0000,1.0000
848,1.0000,0.0000,0.0000,0.0000,1.0000
849,1.0000,0.0000,0.0000,0.0000,1.0000
850,1.0000,0.0000,0.0000,0.0000,1.0000
851,1.0000,0.0000,0.0000,0.0000,1.0000
852,1.0000,0.0000,0.0000,0.0000,1.0000
853,1.0000,0.0000,0.0000,0.0000,0.9625
854,1.0000,0.0000,0.0000,0.0000,0.8375
855,1.0000,0.0000,0.0000,0.0000,0.7125
856,1.0000,0.0000,0.0000,0.0000,0.5875
857,1.0000,0.0000,0.0000,0.0000,0.4625
858,1.0000,0.0000,0.0000,0.0000,0.3375
859,1.0000,0.0000,0.0000,0.0000,0.2125
860,1.0000,0.0000,0.0000,0.0000,0.0875
861,1.0000,0.0000,0.0000,0.0000,0.0000
862,1.0000,0.0000,0.0000,0.0000,0.0000
863,1.0000,0.0000,0.0000,0.0000,0.0000
864,1.0000,0.0000,0.0000,0.0000,0.0000
865,1.0000,0.0000,0.0000,0.0000,0.0000
866,1.0000,0.0000,0.0000,0.0000,0.0000
867,1.0000,0.0000,0.0000,0.0000,0.0000
868,1.0000,0.0000,0.0000,0.0000,0.0000
869,1.0000,0.0000,0.0000,0.0000,0.0000
870,1.0000,0.0000,0.0000,0.0000,0.0000
871,1.0000,0.0000,0.0000,0.0000,0.0000
872,1.0000,0.0000,0.0000,0.0000,0.0000
873,1.0000,0.0000,0.0000,0.0000,0.0000
874,1.0000,0.0000,0.0000,0.0000,0.0000
875,1.0000,0.0000,0.0000,0.0000,0.0000
876,1.0000,0.0000,0.0000,0.0000,0.0000
877,1.0000,0.0000,0.0000,0.0000,0.0000
878,1.0000,0.0000,0.0000,0.0000,0.0000
879,1.0000,0.0000,0.0000,0.0000,0.0000
880,1.0000,0.0000,0.0000,0.0000,0.0000
881,1.0000,0.0000,0.0000,0.0000,0.0000
882,1.0000,0.0000,0.0000,0.0000,0.0000
883,1.0000,0.0000,0.0000,0.0000,0.0000
884,1.0000,0.0000,0.0000,0.0000,0.0000
885,1.0000,0.0000,0.0000,0.0000,0.0000
886,1.0000,0.0000,0.0000,0.0000,0.0000
887,1.0000,0.0000,0.0000,0.0000,0.0000
888,1.0000,0.0000,0.0000,0.0000,0.0000
889,1.0000,0.0000,0.0000,0.0000,0.0000
890,1.0000,0.0000,0.0000,0.0000,0.0000
891,1.0000,0.0000,0.0000,0.0000,0.0000
892,1.0000,0.0000,0.0000,0.0000,0.0000
893,1.0000,0.0000,0.0000,0.0000,0.0000
894,1.0000,0.0000,0.0000,0.0000,0.0000
895,1.0000,0.0000,0.0000,0.0000,0.0000
896,1.0000,0.0000,0.0000,0.0000,0.0000
897,1.0000,0.0000,0.0000,0.0000,0.0000
898,1.0000,0.0000,0.0000,0.0000,0.0000
899,1.0000,0.0000,0.0000,0.0000,0.0000
900,1.0000,0.0000,0.0000,0.0000,0.0000
901,1.0000,0.0000,0.0000,0.0000,0.0000
902,1.0000,0.0000,0.0000,0.0000,0.0000
903,1.0000,0.0000,0.0000,0.0000,0.0000
904,1.0000,0.0000,0.0000,0.0000,0.0000
905,1.0000,0.0000,0.0000,0.0000,0.0000
906,1.0000,0.0000,0.0000,0.0000,0.0000
907,1.0000,0.0000,0.0000,0.0000,0.0000
908,1.0000,0.0000,0.0000,0.0000,0.0000
909,1.0000,0.0000,0.0000,0.0000,0.0000
910,1.0000,0.0000,0.0000,0.0000,0.0000
911,1.0000,0.0000,0.0000,0.0000,0.0000
912,1.0000,0.0000,0.0000,0.0000,0.0000
913,1.0000,0.0000,0.0000,0.0000,0.0000
914,1.0000,0.0000,0.0000,0.0000,0.0000
915,1.0000,0.0000,0.0000,0.0000,0.0000
916,1.0000,0.0000,0.0000,0.0000,0.0000
917,1.0000,0.0000,0.0000,0.0000,0.0000
918,1.0000,0.0000,0.0000,0.0000,0.0000
919,1.0000,0.0000,0.0000,0.0000,0.0000
920,1.0000,0.0000,0.0000,0.0000,0.0000
921,1.0000,0.0000,0.0000,0.0000,0.0000
922,1.0000,0.0000,0.0000,0.0000,0.0000
923,1.0000,0.0000,0.0000,0.0000,0.0000
924,1.0000,0.0000,0.0000,0.0000,0.0000
925,1.0000,0.0000,0.0000,0.0000,0.0000
926,1.0000,0.0000,0.0000,0.0000,0.0000
927,1.0000,0.0000,0.0000,0.0000,0.0000
928,1.0000,0.0000,0.0000,0.0000,0.0000
929,0.9375,0.0000,0.0000,0.0000,0.0000
930,0.8125,0.0000,0.0000,0.0000,0.0000
931,0.6875,0.0000,0.0000,0.0000,0.0000
932,0.5625,0.0000,0.0000,0.0000,0.0000
933,0.4375,0.0000,0.0000,0.0000,0.0000
934,0.3125,0.0000,0.0000,0.0000,0.0000
